Metric,Value
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.2596367916374447
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.2596367916374447
timing__hold__ws__corner:max_ss_100C_1v60,0.8812755774575426
timing__setup__ws__corner:max_ss_100C_1v60,2497.7840236459747
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.881276
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,3117.428467
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2571597174659958
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2571597174659958
timing__hold__ws__corner:max_ff_n40C_1v95,0.1172308394651878
timing__setup__ws__corner:max_ff_n40C_1v95,2499.0352610173263
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.117231
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,3122.381836
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,7
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000034736
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00000394184
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,9.89314E-7
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00000394184
design_powergrid__voltage__worst,0.00000394184
design_powergrid__voltage__worst__net:VPWR,1.8
design_powergrid__drop__worst,0.00000394184
design_powergrid__drop__worst__net:VPWR,0.0000034736
design_powergrid__voltage__worst__net:VGND,0.00000394184
design_powergrid__drop__worst__net:VGND,0.00000394184
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000001049999999999999899545958213786800428124479367397725582122802734375
ir__drop__worst,0.0000034699999999999998112122125137890549240182735957205295562744140625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
